id,flight_date,flight_status,flight_number,flight_iata,flight_icao,airline_name,airline_iata,airline_icao,depart_airport,depart_timezone,depart_iata,depart_icao,depart_terminal,depart_gate,depart_delay,depart_scheduled,depart_estimated,depart_actual,depart_estimated_runway,depart_actual_runway,arrival_airport,arrival_timezone,arrival_iata,arrival_icao,arrival_terminal,arrival_gate,arrival_baggage,arrival_delay,arrival_scheduled,arrival_estimated,arrival_actual,arrival_estimated_runway,arrival_actual_runway,aircraft_registration,aircraft_iata,aircraft_icao,aircraft_icao24
2024-04-19DL5262None,2024-04-19,landed,5262,DL5262,DAL5262,Delta Air Lines,DL,DAL,Raleigh-durham International Airport,America/New_York,RDU,KRDU,2,C24,30,2024-04-19T07:05:00+00:00,2024-04-19T07:05:00+00:00,2024-04-19T07:35:00+00:00,2024-04-19T07:35:00+00:00,2024-04-19T07:35:00+00:00,Austin-bergstrom International,America/Chicago,AUS,KAUS,3,9,7,,2024-04-19T09:37:00+00:00,2024-04-19T09:37:00+00:00,2024-04-19T09:16:00+00:00,2024-04-19T09:16:00+00:00,2024-04-19T09:16:00+00:00,None,None,None,None
2024-04-19DL701None,2024-04-19,landed,701,DL701,DAL701,Delta Air Lines,DL,DAL,Raleigh-durham International Airport,America/New_York,RDU,KRDU,2,D3,17,2024-04-19T07:05:00+00:00,2024-04-19T07:05:00+00:00,2024-04-19T07:22:00+00:00,2024-04-19T07:22:00+00:00,2024-04-19T07:22:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,A33,7,,2024-04-19T08:40:00+00:00,2024-04-19T08:40:00+00:00,2024-04-19T08:19:00+00:00,2024-04-19T08:19:00+00:00,2024-04-19T08:19:00+00:00,None,None,None,None
2024-04-19DL1660None,2024-04-19,landed,1660,DL1660,DAL1660,Delta Air Lines,DL,DAL,Kansas City International Airport,America/Chicago,MCI,KMCI,,B40,10,2024-04-19T17:10:00+00:00,2024-04-19T17:10:00+00:00,2024-04-19T17:19:00+00:00,2024-04-19T17:19:00+00:00,2024-04-19T17:19:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,A7,9,,2024-04-19T20:11:00+00:00,2024-04-19T20:11:00+00:00,2024-04-19T19:52:00+00:00,2024-04-19T19:52:00+00:00,2024-04-19T19:52:00+00:00,None,None,None,None
2024-04-19DL427None,2024-04-19,landed,427,DL427,DAL427,Delta Air Lines,DL,DAL,Minneapolis - St. Paul International,America/Chicago,MSP,KMSP,1,C5,15,2024-04-19T18:36:00+00:00,2024-04-19T18:36:00+00:00,2024-04-19T18:50:00+00:00,2024-04-19T18:50:00+00:00,2024-04-19T18:50:00+00:00,Seattle-Tacoma International,America/Los_Angeles,SEA,KSEA,B,A1,4,,2024-04-19T20:27:00+00:00,2024-04-19T20:27:00+00:00,2024-04-19T20:01:00+00:00,2024-04-19T20:01:00+00:00,2024-04-19T20:01:00+00:00,None,None,None,None
2024-04-19DL4095None,2024-04-19,landed,4095,DL4095,DAL4095,Delta Air Lines,DL,DAL,Municipal/Baer Field,America/Indiana/Indianapolis,FWA,KFWA,,6,8,2024-04-19T16:41:00+00:00,2024-04-19T16:41:00+00:00,2024-04-19T16:49:00+00:00,2024-04-19T16:49:00+00:00,2024-04-19T16:49:00+00:00,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,S,D34,2,,2024-04-19T18:31:00+00:00,2024-04-19T18:31:00+00:00,2024-04-19T18:13:00+00:00,2024-04-19T18:13:00+00:00,2024-04-19T18:13:00+00:00,None,None,None,None
2024-04-19DL9142None,2024-04-19,landed,9142,DL9142,DAL9142,Delta Air Lines,DL,DAL,Internacional Benito Juarez,America/Mexico_City,MEX,MMMX,2,C,32,2024-04-19T15:50:00+00:00,2024-04-19T15:50:00+00:00,2024-04-19T16:22:00+00:00,2024-04-19T16:22:00+00:00,2024-04-19T16:22:00+00:00,Gen Mariano Escobedo,America/Monterrey,MTY,MMMY,B,B16,,,2024-04-19T17:51:00+00:00,2024-04-19T17:51:00+00:00,2024-04-19T17:33:00+00:00,2024-04-19T17:33:00+00:00,2024-04-19T17:33:00+00:00,None,None,None,None
2024-04-19DL5995None,2024-04-19,landed,5995,DL5995,DAL5995,Delta Air Lines,DL,DAL,Heathrow,Europe/London,LHR,EGLL,3,31,50,2024-04-19T12:55:00+00:00,2024-04-19T12:55:00+00:00,2024-04-19T13:45:00+00:00,2024-04-19T13:45:00+00:00,2024-04-19T13:45:00+00:00,John F Kennedy International,America/New_York,JFK,KJFK,4,,,,2024-04-19T16:00:00+00:00,2024-04-19T16:00:00+00:00,2024-04-19T15:54:00+00:00,2024-04-19T15:54:00+00:00,2024-04-19T15:54:00+00:00,None,None,None,None
2024-04-19DL74None,2024-04-19,landed,74,DL74,DAL74,Delta Air Lines,DL,DAL,Hartsfield-jackson Atlanta International,America/New_York,ATL,KATL,I,F12,21,2024-04-19T19:45:00+00:00,2024-04-19T19:45:00+00:00,2024-04-19T20:05:00+00:00,2024-04-19T20:05:00+00:00,2024-04-19T20:05:00+00:00,Schiphol,Europe/Amsterdam,AMS,EHAM,3,E5,,,2024-04-20T10:30:00+00:00,2024-04-20T10:30:00+00:00,2024-04-20T10:15:00+00:00,2024-04-20T10:15:00+00:00,2024-04-20T10:15:00+00:00,None,None,None,None
2024-04-19DL7511None,2024-04-19,landed,7511,DL7511,DAL7511,Delta Air Lines,DL,DAL,Valerio Catullo,Europe/Rome,VRN,LIPX,,,28,2024-04-19T09:20:00+00:00,2024-04-19T09:20:00+00:00,2024-04-19T09:48:00+00:00,2024-04-19T09:48:00+00:00,2024-04-19T09:48:00+00:00,Schiphol,Europe/Amsterdam,AMS,EHAM,1,C12,015,11,2024-04-19T11:15:00+00:00,2024-04-19T11:15:00+00:00,2024-04-19T11:26:00+00:00,2024-04-19T11:26:00+00:00,2024-04-19T11:26:00+00:00,None,None,None,None
2024-04-19DL7496None,2024-04-19,active,7496,DL7496,DAL7496,Delta Air Lines,DL,DAL,Valerio Catullo,Europe/Rome,VRN,LIPX,,,15,2024-04-19T09:20:00+00:00,2024-04-19T09:20:00+00:00,,,,Schiphol,Europe/Amsterdam,AMS,EHAM,,C12,015,,2024-04-19T11:15:00+00:00,2024-04-19T11:15:00+00:00,,,,None,None,None,None
